Facility Id,FRS Id,Facility Name,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Electrical Equipment Use,SF6 emissions ,Does the facility employ continuous emissions monitoring? 
1009725,1.10049E+11,ITC Transmission/Michigan Electric Transmission Company,Novi,MI,48377,27175 Energy Way,OAKLAND COUNTY,42.4926,-83.44298,221121,DD,"28,828.32","28,828.32",N
1010231,1.10001E+11,Imperial Irrigation District (SF6),Imperial,CA,92251,333 E. Barioni Blvd.,IMPERIAL COUNTY,32.84748,-115.56677,221122,DD,"2,995.92","2,995.92",N
1010210,1.10016E+11,KCP&L T&D,Kansas City,MO,64105,1200 Main Street,JACKSON COUNTY,39.09991,-94.58319,221121,DD,"4,464.24","4,464.24",N
1004001,1.10007E+11,Kern River Cogeneration Facility,BAKERSFIELD,CA,93308,1546 SW China Grade Loop,KERN COUNTY,35.4518,-118.9851,221112,"C,DD",134.52,134.52,N
1009894,1.10028E+11,LCRA Transmission Services,Austin,TX,78703,3700 Lake Austin Blvd,TRAVIS COUNTY,30.29394,-97.78362,221121,DD,"45,182.76","45,182.76",N
1009765,1.10044E+11,"LG&E and KU Energy, LLC - Subpart DD SF6",Louisville,KY,40202,220 West Main Street,JEFFERSON COUNTY,38.25634,-85.75418,221112,DD,"70,511.28","70,511.28",N
1009868,1.10005E+11,LIPA T&D System,Uniondale,NY,11553,333 Earle Ovington Blvd,NASSAU COUNTY,40.724276,-73.59322,221121,DD,"11,949.48","11,949.48",N
1009555,1.10037E+11,Los Angeles Department of Water and Power - electric power transmission & distribution entity (SF6),Los Angeles,CA,90012,111 N. Hope Street,LOS ANGELES COUNTY,34.05651,-118.24976,221121,DD,"6,988.20","6,988.20",N
1009627,1.10044E+11,MidAmerican Energy Company,Des Moines,IA,50309,"666 Grand Avenue, Suite 500",POLK COUNTY,41.58758,-93.62616,221122,DD,"15,923.52","15,923.52",N
1001564,1.10071E+11,Muscatine,MUSCATINE,IA,52761,3205 CEDAR ST,Muscatine,41.3917,-91.0569,221112,"C,D,DD",9.12,9.12,N
1010121,1.10003E+11,NIPSCO Electric Transmission,Merrillville,IN,46410,801 East 86th Avenue,LAKE COUNTY,41.46339,-87.32624,221121,DD,592.8,592.8,N
1010049,1.10002E+11,NPPD T&D System,Columbus,NE,68601,1414 15th Street,PLATTE COUNTY,41.43107,-97.34489,221121,DD,"3,242.16","3,242.16",N
1009612,1.10009E+11,Nevada Power d/b/a NV Energy Transmission,Las Vegas,NV,89146,6226 West Sahara Ave,CLARK COUNTY,36.14427,-115.22733,221112,DD,"12,145.56","12,145.56",N
1009741,1.1004E+11,New England Power Company,Waltham,MA,2451,40 Sylvan Road,MIDDLESEX COUNTY,42.396463,-71.271237,221121,DD,"10,930.32","10,930.32",N
1009542,1.10044E+11,"Northern States Power Company, A Minnesota Corporation - Subpart DD",Minneapolis,MN,55401,414 Nicollet Mall,HENNEPIN COUNTY,44.97967,-93.26989,221121,DD,"17,882.04","17,882.04",N
1007416,1.10056E+11,Oklahoma Gas & Electric Co.,Oklahoma City,OK,73102,321 N Harvey Mailcode WN50,OKLAHOMA COUNTY,35.471181,-97.516602,221122,DD,"12,084.00","12,084.00",N
1008107,1.10033E+11,Oncor Electric Delivery,Dallas,TX,75202,1616 Woodall Rodgers Freeway,DALLAS COUNTY,32.78705,-96.80382,221122,DD,"2,414.52","2,414.52",N
1000326,1.10044E+11,PECO Transmission and Distribution,Philadelphia,PA,19103,2301 Market Street  S7-2,DELAWARE COUNTY,39.832588,-75.424143,221121,DD,"43,219.68","43,219.68",N
1010144,1.10014E+11,PGE T&D Facility,Portland,OR,97204,121 SW Salmon Street,MULTNOMAH COUNTY,45.52,-122.66999,221122,DD,"2,729.16","2,729.16",N
1009440,1.10023E+11,PNM Electric Operations,Albuquerque,NM,87107,4201 Edith Boulevard NE,BERNALILLO COUNTY,35.12388,-106.6329,221122,DD,"35,782.32","35,782.32",N
1009569,1.10047E+11,PPL Electric Utilities,Allentown,PA,18101,2 North 9th Street,LEHIGH COUNTY,40.608388,-75.45599,221122,DD,"2,907.00","2,907.00",N
1010191,1.10056E+11,PREPA Electrical Transmission and Distribution Equiment,San Juan,PR,936,Ponce de Leon Avenue Box 364267,SAN JUAN MUNICIPIO,18.466224,-66.105724,221121,DD,"29,927.28","29,927.28",N
1010796,1.10002E+11,PSE&G Subpart DD,Newark,NJ,7102,80 Park Plaza,ESSEX COUNTY,40.73811,-74.16993,221210,DD,"33,568.44","33,568.44",N
1009619,1.10001E+11,PacifiCorp (T&D System),Salt Lake City,UT,84116,"1407 west North Temple, Suite 110",SALT LAKE COUNTY,40.768613,-111.926354,221121,DD,"89,519.64","89,519.64",N
1009578,1.10001E+11,Pacific Gas and Electric Company (PG&E) - SF6 Emissions,San Francisco,CA,94105,77 Beale Street,SAN FRANCISCO COUNTY,37.79134,-122.39604,221122,DD,"14,872.44","14,872.44",N
1009801,1.1E+11,Pepco,Washington DE,DC,20019,3400 Benning Road NE,DISTRICT OF COLUMBIA,38.89656,-76.95738,221122,DD,"8,490.72","8,490.72",N
1009543,1.1007E+11,Public Service Company of Colorado - Subpart DD,Minneapolis,MN,55401,414 Nicollet Mall,HENNEPIN COUNTY,44.97967,-93.26989,221121,DD,"46,671.60","46,671.60",N
1010301,1.10044E+11,Puget Sound Energy T&D,Bellevue,WA,98004,10885 N.E. 4th Street,KING COUNTY,47.61373,-122.19453,221122,DD,186.96,186.96,N
1012373,1.10068E+11,Red Gate Power Plant,Edinburg,TX,78541,3428 WEST FM 490,HIDALGO COUNTY,26.450628,-98.177386,221112,"C,DD",0,,N
1012430,1.1007E+11,Rochester Gas and Electric - Subpart DD,Rochester,NY,14649,89 East Avenue,MONROE COUNTY,43.15694,-77.60186,221122,DD,"1,354.32","1,354.32",N
1003998,1.10007E+11,SYCAMORE COGENERATION Facility,BAKERSFIELD,CA,93308,1546 SW China Grade Loop,KERN COUNTY,35.4518,-118.9851,221112,"C,DD",253.08,253.08,N
1000507,1.10035E+11,Salinas River Cogeneration Facility,SAN ARDO,CA,93450,"Star Route 42, Wunpost Road",Monterey,35.9515,-120.8679,221112,"D,DD",0,,N
1009888,1.10039E+11,Salt River Project - T & D Equipment,Tempe,AZ,85281,1521 N. Project Drive,MARICOPA COUNTY,33.447479,-111.952819,221121,DD,"24,817.80","24,817.80",N
1000506,1.10043E+11,Sargent Canyon Cogeneration Facility,San Ardo,CA,93450,,Monterey,35.9359,-120.8405,221112,"D,DD",0,,N
1010082,1.10005E+11,Seattle City Light,Seattle,WA,98124,"700 5th Ave, Suite 3300, PO Box 34023",KING COUNTY,47.60443,-122.32983,221111,DD,"1,071.60","1,071.60",N
1009784,1.10009E+11,Sierra Pacific Power Co d/b/a NV Energy Transmission,Las Vegas,NV,89146,6226 W Sahara Ave,CLARK COUNTY,36.14427,-115.22733,221112,DD,"1,256.28","1,256.28",N
1009787,1.10012E+11,Southern California Edison,Rosemead,CA,91770,2244 Walnut Grove Avenue,LOS ANGELES COUNTY,34.05306,-118.0818,221122,DD,"167,935.68","167,935.68",N
1009585,1.10056E+11,Southern Company Transmission and Distribution,Atlanta,GA,30308,30 Ivan Allen Jr. Blvd. NW,FULTON COUNTY,33.76466,-84.38826,221121,DD,"113,015.04","113,015.04",N
1009544,1.10044E+11,Southwestern Public Service Company - Subpart DD,Minneapolis,MN,55401,414 Nicollet Mall,HENNEPIN COUNTY,44.97967,-93.26989,221121,DD,"40,625.04","40,625.04",N
1009537,1.1004E+11,T&D FLORIDA,SAINT PETERSBURG,FL,33701,299 FIRST AVE N,PINELLAS COUNTY,27.77209,-82.6371,221112,DD,"151,332.72","151,332.72",N
1008733,1.10005E+11,TVA Transmission System,Chattanooga,TN,37402,1101 Market St. ,HAMILTON COUNTY,35.04299,-85.3093,221121,DD,"159,324.12","159,324.12",N
1009645,1.10056E+11,Tampa Electric Company,Tampa,FL,33601,PO Box 111,HILLSBOROUGH COUNTY,27.94,-82.45,221121,DD,"20,766.24","20,766.24",N
1009439,1.10056E+11,Texas New Mexico Power,Lewisville,TX,75067,577 N. Garden Ridge Boulevard,DENTON COUNTY,33.04887,-97.03545,221122,DD,348.84,348.84,N
1009917,1.10017E+11,Transmission and Distribution,"El Paso, TX",TX,79901,100 North Stanton Street ,EL PASO COUNTY,31.75853,-106.48587,221112,DD,"3,748.32","3,748.32",N
1008193,1.10012E+11,Tucson Electric Power Company,Tucson,AZ,85701,88 East Broadway Blvd.,PIMA COUNTY,32.16306,-110.89745,221122,DD,"11,238.12","11,238.12",N
1010321,1.10056E+11,Vermont Electric Power Company,Rutland,VT,5701,366 Pinnacle Ridge Rd,RUTLAND COUNTY,43.66108,-72.9926,221121,DD,387.6,387.6,N
1009971,1.10021E+11,Virginia Electric and Power Company,Richmond,VA,23219,120 Tredegar Street,RICHMOND CITY,37.533948,-77.452741,221121,DD,"42,266.64","42,266.64",N
1010171,1.10016E+11,WAPA,Lakewood,CO,80228,12155 West Alameda Parkway,JEFFERSON COUNTY,39.7061,-105.1367,221122,DD,"10,011.48","10,011.48",N
